"","GSM1301444","GSM1301445","GSM1301446","GSM1301447","GSM1301448","GSM1301449","GSM1301450","GSM1301451","GSM1301452","GSM1301453","GSM1301454","GSM1301455","GSM1301456","GSM1301457","GSM1301458","GSM1301459","GSM1301460","GSM1301461","GSM1301462","GSM1301463","GSM1301464","GSM1301465","GSM1301466","GSM1301467","GSM1301468","GSM1301469","GSM1301470","GSM1301471","GSM1301472","GSM1301473","GSM1301474","GSM1301475","GSM1301476","GSM1301477","GSM1301478","GSM1301479"
"MEGF11",9.924611,7.430393,7.0331855,7.4505343,5.974366,4.325559,7.6396194,8.301144,7.9699216,11.970085,9.293166,6.1979384,6.5996146,9.044916,8.916949,6.565593,12.650729,6.54493,6.3053155,6.1304197,5.983287,7.073778,7.0864367,7.7595024,6.3769703,5.990009,5.924595,6.198425,6.003634,6.0721483,6.2557116,6.4429665,6.2697244,6.0888324,5.996436,6.201845
"CCL23",6.20158575,6.38705895,4.5163225,7.98639685,6.0427148,7.3323413,6.5865841,7.8827818,6.2210525,3.84594135,7.1536235,5.85292065,12.698458,7.00428465,4.810204,6.44749015,7.10705175,6.8286722,7.526094,8.690786,8.04895425,9.416754,8.4216245,8.580043,7.98143605,7.37310525,9.67391,7.20722385,7.2184727,7.8039254,8.53646875,8.801917,8.246662,7.85690485,8.39600885,8.5873005
"DCN",14.400635,14.720191,14.333463,15.219813,13.784896,16.220757,14.529626,16.532124,17.005384,16.914711,15.449504,15.185337,12.41643,15.01652,13.9755125,16.71619,17.180782,16.735497,16.30014,16.919588,16.8293,16.41279,16.848188,15.990193,16.105608,18.416956,16.773216,16.797304,16.518707,16.18004,17.062077,17.018236,15.983771,16.422087,14.7540245,16.205038
"CCL19",16.143946,15.160917,16.22951,16.938007,14.181631,15.349171,13.75722,17.927748,14.14953,13.81559,16.700455,16.488554,13.991975,18.603355,19.221727,16.435524,16.45423,16.92543,17.800844,17.34969,17.379793,17.927748,18.114582,17.430086,17.98095,14.579258,17.287502,17.989891,17.455057,16.806044,17.57296,18.211498,18.592766,17.290873,16.64732,17.761574
"C1orf133",8.349257,9.509488,8.880221,8.306283,8.708538,10.078857,10.844596,9.781026,10.27561,10.809949,9.766687,9.231607,4.6620193,7.627445,8.851168,10.21732,8.704519,9.792512,10.07651,10.352675,10.750522,10.304756,10.642668,9.077053,9.946984,13.046783,10.426403,9.781218,9.972593,10.127765,10.449035,11.3237,10.205156,10.747658,9.437114,10.719146
"ERBB4",3.70665345,4.20975675,3.9968295,4.67507985,3.6678688,4.34051585,4.63927535,6.4527719,3.04002365,8.053973,7.80046285,4.818843,2.87922595,2.68284325,3.080933,2.6627097,3.5573622,4.461174,4.3356245,5.94335555,5.34927595,8.0307685,7.49102835,4.49386645,5.64222125,10.0971825,5.46427895,4.3913765,4.7158995,5.3616482,5.09851935,7.39381685,5.428343,6.3751653,6.34468015,7.056941
"C4orf19",5.8940948,5.15023945,4.90052925,6.72396425,4.72398325,7.6396775,8.0178065,7.6988505,4.9998566,6.2203737,5.77273415,5.9195595,4.661754,3.684873,4.2893959,7.2282945,9.37918375,7.4424767,7.01178825,8.2522734,9.028844,6.96387265,8.0267415,5.3205625,7.2556415,9.31301875,7.405052,7.0003305,7.3144345,6.811523,6.6459582,9.0761907,8.051805,8.503334,5.9579711,8.42672375
"CTSL2",12.80016,9.87841,10.033738,10.091414,9.572718,9.409899,10.058564,8.993725,14.130022,11.102808,10.564213,10.126282,7.34115,12.725491,11.284712,13.851848,8.7918,10.9492855,9.469825,10.328086,9.0339575,9.442634,9.241314,8.729571,8.2990265,7.6702147,9.75524,9.550154,10.119989,8.52926,10.227878,9.354794,8.427782,9.552866,8.182928,9.091462
"LOC100505869",4.563061,3.6386192,5.126889,4.995817,4.9840603,5.498406,5.9911537,7.696583,6.2984867,4.350787,7.1065826,5.2190585,10.870022,5.2072597,5.313734,6.0785556,5.8601236,4.852217,4.831087,4.2946177,4.5222936,4.1557174,3.5678742,5.450781,4.6502123,3.8881836,4.2468266,5.0491896,4.356818,4.746622,4.4272647,4.7425575,4.966639,4.6557403,4.4538593,3.3979845
"S100A1",5.7253566,4.655417,4.7213693,4.822157,4.066786,5.235245,3.6855168,5.8204255,3.0663972,4.940985,5.100901,3.8014042,2.8508527,4.10103,4.5390105,4.1392384,3.5384104,5.5236864,5.7137337,6.3247385,5.007631,6.4068947,5.5323944,4.9527235,5.3309584,12.652102,4.784341,4.7249856,5.440263,6.764824,5.174647,9.633835,4.711035,5.8558955,4.2752805,8.896217
